id_comunidad;codigo_ine;nombre_ine;nombre;region_geografica;nombre_pib
1;01;01 Andalucía;Andalucía;Sur;ANDALUCÍA
2;02;02 Aragón;Aragón;Este;ARAGÓN
3;03;03 Asturias, Principado de;Asturias;Norte;ASTURIAS, PRINCIPADO DE
4;04;04 Balears, Illes;Islas Baleares;Este;BALEARS, ILLES
5;05;05 Canarias;Canarias;Sur;CANARIAS
6;06;06 Cantabria;Cantabria;Norte;CANTABRIA
7;07;07 Castilla y León;Castilla y León;Centro;CASTILLA Y LEÓN
8;08;08 Castilla - La Mancha;Castilla-La Mancha;Centro;CASTILLA - LA MANCHA
9;09;09 Cataluña;Cataluña;Este;CATALUÑA
10;10;10 Comunitat Valenciana;Comunitat Valenciana;Este;COMUNITAT VALENCIANA
11;11;11 Extremadura;Extremadura;Sur;EXTREMADURA
12;12;12 Galicia;Galicia;Norte;GALICIA
13;13;13 Madrid, Comunidad de;Madrid;Centro;MADRID, COMUNIDAD DE
14;14;14 Murcia, Region de;Murcia;Sur;MURCIA, REGIÓN DE
15;15;15 Navarra, Comunidad Foral de;Navarra;Norte;NAVARRA, COMUNIDAD FORAL DE
16;16;16 País Vasco;País Vasco;Norte;PAÍS VASCO
17;17;17 Rioja, La;La Rioja;Norte;RIOJA, LA
18;18;18 Ceuta;Ceuta;Sur;CEUTA
19;19;19 Melilla;Melilla;Sur;MELILLA
